branch,Address,City,State,Zip,lat,lon
1,1 CUNNINGHAM SQ,PROVIDENCE,RI,2918,41.84,-71.44
2,1 HARRISVILLE MAIN ST,HARRISVILLE,RI,2830,41.97,-71.68
3,1 LINCOLN ALMOND PLZ,KINGSTON,RI,2881,41.48,-71.52
4,1 PETER PAN WAY,PROVIDENCE,RI,2904,41.85,-71.41
5,100 TWIN RIVER RD,LINCOLN,RI,2865,41.89,-71.46
6,1000 ELMWOOD AVE,PROVIDENCE,RI,2907,41.79,-71.42
7,1006 PUTNAM PIKE,CHEPACHET,RI,2814,41.91,-71.66
8,1009 SMITH ST,PROVIDENCE,RI,2908,41.84,-71.45
9,1016 CENTERVILLE RD,WARWICK,RI,2886,41.7,-71.5
10,1075 N MAIN ST,PROVIDENCE,RI,2904,41.85,-71.4
11,1082 CHALKSTONE AVE,PROVIDENCE,RI,2908,41.83,-71.44
12,109 EAST ST,PAWTUCKET,RI,2860,41.89,-71.38
13,111 HOPKINS HILL RD,WEST GREENWICH,RI,2817,41.63,-71.67
14,1113 CENTRAL AVE,PAWTUCKET,RI,2861,41.89,-71.34
15,1130 DOUGLAS PIKE,SMITHFIELD,RI,2917,41.92,-71.52
16,1132 MINERAL SPRING AVE,NORTH PROVIDENCE,RI,2904,41.87,-71.43
17,1189 BOSTON NECK RD,NARRAGANSETT,RI,2882,41.49,-71.44
18,119 ATWELLS AVE,PROVIDENCE,RI,2903,41.82,-71.42
19,1199 CHOPMIST HILL RD UNIT A,NORTH SCITUATE,RI,2857,41.83,-71.67
20,120 EDDIE DOWLING HWY,NORTH SMITHFIELD,RI,2896,41.98,-71.51
21,120 FLAGG RD,KINGSTON,RI,2881,41.49,-71.53
22,120 FORTIN RD,KINGSTON,RI,2881,41.49,-71.52
23,1214 MAIN ST,WYOMING,RI,2898,41.51,-71.69
24,1239 DIVISION RD,EAST GREENWICH,RI,2818,41.66,-71.5
25,1241 TEN ROD RD,NORTH KINGSTOWN,RI,2852,41.58,-71.5
26,128 OAKLAWN AVE,CRANSTON,RI,2920,41.77,-71.47
27,1319 EDDIE DOWLING HWY,LINCOLN,RI,2865,41.91,-71.45
28,133 GANO ST,PROVIDENCE,RI,2906,41.82,-71.39
29,1338 PARK AVE,WOONSOCKET,RI,2895,41.99,-71.52
30,1346 GREENWICH AVE,WARWICK,RI,2886,41.7,-71.46
31,137 BROADWAY,NEWPORT,RI,2840,41.49,-71.31
32,14 PLEASANT VALLEY PKWY,PROVIDENCE,RI,2908,41.83,-71.43
33,141 GROVE ST,LINCOLN,RI,2865,41.91,-71.41
34,141 WESTMINSTER ST,PROVIDENCE,RI,2903,41.82,-71.41
35,1431 DIAMOND HILL RD,WOONSOCKET,RI,2895,42.02,-71.48
36,1452 BRONCOS HWY STE 1,HARRISVILLE,RI,2830,41.97,-71.65
37,1484 MINERAL SPRING AVE,NORTH PROVIDENCE,RI,2904,41.87,-71.44
38,1491 ATWOOD AVE,JOHNSTON,RI,2919,41.82,-71.5
39,151 DOUGLAS PIKE APT 10,SMITHFIELD,RI,2917,41.88,-71.48
40,154 PROVIDENCE PL,PROVIDENCE,RI,2903,41.83,-71.42
41,1550 W MAIN RD,PORTSMOUTH,RI,2871,41.59,-71.26
42,159 E MAIN RD,MIDDLETOWN,RI,2842,41.52,-71.28
43,1600 LOUISQUISSET PIKE,LINCOLN,RI,2865,41.89,-71.44
44,1600B LOUISQUISETT PIKE UNIT 2,MANVILLE,RI,2838,41.97,-71.48
45,164 GRANITE ST,WESTERLY,RI,2891,41.36,-71.81
46,1678 POST RD,WARWICK,RI,2888,41.74,-71.43
47,1680 HARTFORD AVE,JOHNSTON,RI,2919,41.83,-71.51
48,1700 MENDON RD STE E,CUMBERLAND,RI,2864,41.94,-71.44
49,1710 W SHORE RD,WARWICK,RI,2889,41.7,-71.39
50,1719 ELMWOOD AVE,WARWICK,RI,2888,41.76,-71.42
51,1735 STAFFORD RD,TIVERTON,RI,2878,41.63,-71.15
52,1755 SMITH ST,NORTH PROVIDENCE,RI,2911,41.85,-71.47
53,176 MENDON RD,WOONSOCKET,RI,2895,42.02,-71.48
54,1783 OLD LOUISQUISSET PIKE,LINCOLN,RI,2865,41.9,-71.45
55,1800 SMITH ST,NORTH PROVIDENCE,RI,2911,41.85,-71.47
56,1820 BOSTON NECK RD,SAUNDERSTOWN,RI,2874,41.53,-71.42
57,189 SOCKANOSSET CROSS RD,CRANSTON,RI,2920,41.76,-71.46
58,1892 KINGSTOWN RD,WAKEFIELD,RI,2879,41.47,-71.51
59,192 DIVISION ST,PAWTUCKET,RI,2860,41.87,-71.38
60,194 CONNELL HWY,NEWPORT,RI,2840,41.51,-71.32
61,1999 PLAINFIELD PIKE,JOHNSTON,RI,2919,41.79,-71.51
62,20 ANN AND HOPE WAY,CUMBERLAND,RI,2864,41.91,-71.4
63,200 GORDON AVE APT 603,PROVIDENCE,RI,2905,41.8,-71.41
64,2003 POST RD,WARWICK,RI,2886,41.73,-71.44
65,204 S MAIN ST,WOONSOCKET,RI,2895,42,-71.52
66,205 DEXTER ST,PAWTUCKET,RI,2860,41.88,-71.39
67,2077 DIAMOND HILL RD,CUMBERLAND,RI,2864,41.95,-71.4
68,2128 ELMWOOD AVE,WARWICK,RI,2888,41.75,-71.42
69,2148 BROAD ST,CRANSTON,RI,2905,41.77,-71.39
70,223 NEWPORT AVE,RUMFORD,RI,2916,41.85,-71.35
